arm,link,proto,conns,conc,stage,op,kind,requests,verify_requests,work_ms,wall_ms,statuses,client_proto,server_proto,bytes,ok,unreliable,class,detail,proto_note
h1-loopback-c1x1,loopback,h1,1,1,0,stat,required,1,0,0.320,0.409,200,HTTP/1.1,HTTP/1.1,0,true,false,ok,ETag and X-Bunker-Hash are the file's content hash,
h1-loopback-c1x1,loopback,h1,1,1,0,read-small,required,1,0,1.531,22.461,200,HTTP/1.1,HTTP/1.1,1024,true,false,ok,"1024 bytes, hash matches",
h1-loopback-c1x1,loopback,h1,1,1,0,read-large,required,1,0,13.271,23.258,200,HTTP/1.1,HTTP/1.1,4194304,true,false,ok,"4194304 bytes, hash matches",
h1-loopback-c1x1,loopback,h1,1,1,0,list-shallow,required,1,0,1.164,16.387,207,HTTP/1.1,HTTP/1.1,11495,true,false,ok,27 members,
h1-loopback-c1x1,loopback,h1,1,1,0,list-deep,required,1,0,0.406,16.527,207,HTTP/1.1,HTTP/1.1,1815,true,false,ok,4 members at depth 3,
h1-loopback-c1x1,loopback,h1,1,1,0,walk-tree,required,167,0,32.234,86.107,"10x207,157x200",HTTP/1.1,HTTP/1.1,75067,true,false,ok,"10 dirs + 157 files discovered, matching the fixture",
h1-loopback-c1x1,loopback,h1,1,1,0,git-status-shaped,required,1,0,5.321,46.266,200,HTTP/1.1,HTTP/1.1,28244,true,false,ok,1 request returned 167 entries (157 hashes),
h1-loopback-c1x1,loopback,h1,1,1,0,fanout-100,extra,100,0,26.523,51.285,100x200,HTTP/1.1,HTTP/1.1,102400,true,false,ok,"100 requests issued concurrently (bounded at 1 in flight), all verified",
h1-loopback-c1x1,loopback,h1,1,1,1,write-small,required,1,1,6.559,21.995,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,1024 bytes written and read back,
h1-loopback-c1x1,loopback,h1,1,1,1,write-large,required,1,1,29.963,77.204,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,4194304 bytes written and read back,
h1-loopback-c1x1,loopback,h1,1,1,1,create,required,1,1,7.319,22.388,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,"201 created, bytes verified",
h1-loopback-c1x1,loopback,h1,1,1,1,mkdir-rmdir,required,2,1,0.524,22.529,"201,204",HTTP/1.1,HTTP/1.1,0,true,false,ok,"201 then 204, 404 on read-back",
h1-loopback-c1x1,loopback,h1,1,1,1,conflict,required,3,1,7.628,23.088,"200,204,412",HTTP/1.1,HTTP/1.1,324,true,false,ok,412 hash_mismatch with both hashes; bytes unchanged; identical-content arm is 204,
h1-loopback-c1x1,loopback,h1,1,1,2,rename,required,1,2,0.353,0.965,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,"source gone, destination present",
h1-loopback-c1x1,loopback,h1,1,1,3,delete,required,1,1,0.228,0.432,204,HTTP/1.1,HTTP/1.1,0,true,false,ok,"deleted, 404 on read-back",
h1-loopback-c1x8,loopback,h1,1,8,0,stat,required,1,0,0.348,0.430,200,HTTP/1.1,HTTP/1.1,0,true,false,ok,ETag and X-Bunker-Hash are the file's content hash,
h1-loopback-c1x8,loopback,h1,1,8,0,read-small,required,1,0,0.946,1.065,200,HTTP/1.1,HTTP/1.1,1024,true,false,ok,"1024 bytes, hash matches",
h1-loopback-c1x8,loopback,h1,1,8,0,read-large,required,1,0,10.631,20.615,200,HTTP/1.1,HTTP/1.1,4194304,true,false,ok,"4194304 bytes, hash matches",
h1-loopback-c1x8,loopback,h1,1,8,0,list-shallow,required,1,0,9.820,16.196,207,HTTP/1.1,HTTP/1.1,11495,true,false,ok,27 members,
h1-loopback-c1x8,loopback,h1,1,8,0,list-deep,required,1,0,5.272,5.517,207,HTTP/1.1,HTTP/1.1,1815,true,false,ok,4 members at depth 3,
h1-loopback-c1x8,loopback,h1,1,8,0,walk-tree,required,167,0,229.116,66.374,"10x207,157x200",HTTP/1.1,HTTP/1.1,75067,true,false,ok,"10 dirs + 157 files discovered, matching the fixture",
h1-loopback-c1x8,loopback,h1,1,8,0,git-status-shaped,required,1,0,6.987,23.287,200,HTTP/1.1,HTTP/1.1,28244,true,false,ok,1 request returned 167 entries (157 hashes),
h1-loopback-c1x8,loopback,h1,1,8,0,fanout-100,extra,100,0,255.153,37.629,100x200,HTTP/1.1,HTTP/1.1,102400,true,false,ok,"100 requests issued concurrently (bounded at 8 in flight), all verified",
h1-loopback-c1x8,loopback,h1,1,8,1,write-small,required,1,1,13.279,21.567,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,1024 bytes written and read back,
h1-loopback-c1x8,loopback,h1,1,8,1,write-large,required,1,1,32.040,85.472,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,4194304 bytes written and read back,
h1-loopback-c1x8,loopback,h1,1,8,1,create,required,1,1,5.834,21.334,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,"201 created, bytes verified",
h1-loopback-c1x8,loopback,h1,1,8,1,mkdir-rmdir,required,2,1,21.024,21.982,"201,204",HTTP/1.1,HTTP/1.1,0,true,false,ok,"201 then 204, 404 on read-back",
h1-loopback-c1x8,loopback,h1,1,8,1,conflict,required,3,1,21.775,22.150,"200,204,412",HTTP/1.1,HTTP/1.1,324,true,false,ok,412 hash_mismatch with both hashes; bytes unchanged; identical-content arm is 204,
h1-loopback-c1x8,loopback,h1,1,8,2,rename,required,1,2,0.379,0.973,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,"source gone, destination present",
h1-loopback-c1x8,loopback,h1,1,8,3,delete,required,1,1,0.217,0.441,204,HTTP/1.1,HTTP/1.1,0,true,false,ok,"deleted, 404 on read-back",
h1-loopback-c8x8,loopback,h1,8,8,0,stat,required,1,0,4.006,4.115,200,HTTP/1.1,HTTP/1.1,0,true,false,ok,ETag and X-Bunker-Hash are the file's content hash,
h1-loopback-c8x8,loopback,h1,8,8,0,read-small,required,1,0,0.676,0.744,200,HTTP/1.1,HTTP/1.1,1024,true,false,ok,"1024 bytes, hash matches",
h1-loopback-c8x8,loopback,h1,8,8,0,read-large,required,1,0,26.883,32.518,200,HTTP/1.1,HTTP/1.1,4194304,true,false,ok,"4194304 bytes, hash matches",
h1-loopback-c8x8,loopback,h1,8,8,0,list-shallow,required,1,0,8.567,9.048,207,HTTP/1.1,HTTP/1.1,11522,true,false,ok,27 members,
h1-loopback-c8x8,loopback,h1,8,8,0,list-deep,required,1,0,3.502,3.719,207,HTTP/1.1,HTTP/1.1,1819,true,false,ok,4 members at depth 3,
h1-loopback-c8x8,loopback,h1,8,8,0,walk-tree,required,167,0,95.416,34.070,"10x207,157x200",HTTP/1.1,HTTP/1.1,75243,true,false,ok,"10 dirs + 157 files discovered, matching the fixture",
h1-loopback-c8x8,loopback,h1,8,8,0,git-status-shaped,required,1,0,21.083,22.622,200,HTTP/1.1,HTTP/1.1,28246,true,false,ok,1 request returned 167 entries (157 hashes),
h1-loopback-c8x8,loopback,h1,8,8,0,fanout-100,extra,100,0,100.013,23.970,100x200,HTTP/1.1,HTTP/1.1,102400,true,false,ok,"100 requests issued concurrently (bounded at 8 in flight), all verified",
h1-loopback-c8x8,loopback,h1,8,8,1,write-small,required,1,1,4.861,5.233,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,1024 bytes written and read back,
h1-loopback-c8x8,loopback,h1,8,8,1,write-large,required,1,1,23.685,80.162,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,4194304 bytes written and read back,
h1-loopback-c8x8,loopback,h1,8,8,1,create,required,1,1,4.699,5.069,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,"201 created, bytes verified",
h1-loopback-c8x8,loopback,h1,8,8,1,mkdir-rmdir,required,2,1,0.428,0.662,"201,204",HTTP/1.1,HTTP/1.1,0,true,false,ok,"201 then 204, 404 on read-back",
h1-loopback-c8x8,loopback,h1,8,8,1,conflict,required,3,1,9.432,9.783,"200,204,412",HTTP/1.1,HTTP/1.1,324,true,false,ok,412 hash_mismatch with both hashes; bytes unchanged; identical-content arm is 204,
h1-loopback-c8x8,loopback,h1,8,8,2,rename,required,1,2,0.409,1.089,201,HTTP/1.1,HTTP/1.1,0,true,false,ok,"source gone, destination present",
h1-loopback-c8x8,loopback,h1,8,8,3,delete,required,1,1,0.405,0.842,204,HTTP/1.1,HTTP/1.1,0,true,false,ok,"deleted, 404 on read-back",
h2-loopback-c1x1,loopback,h2,1,1,0,stat,required,1,0,0.543,0.600,200,HTTP/2.0,HTTP/2.0,0,true,false,ok,ETag and X-Bunker-Hash are the file's content hash,
h2-loopback-c1x1,loopback,h2,1,1,0,read-small,required,1,0,0.363,1.102,200,HTTP/2.0,HTTP/2.0,1024,true,false,ok,"1024 bytes, hash matches",
h2-loopback-c1x1,loopback,h2,1,1,0,read-large,required,1,0,15.988,24.519,200,HTTP/2.0,HTTP/2.0,4194304,true,false,ok,"4194304 bytes, hash matches",
h2-loopback-c1x1,loopback,h2,1,1,0,list-shallow,required,1,0,1.114,38.751,207,HTTP/2.0,HTTP/2.0,11522,true,false,ok,27 members,
h2-loopback-c1x1,loopback,h2,1,1,0,list-deep,required,1,0,0.630,18.570,207,HTTP/2.0,HTTP/2.0,1819,true,false,ok,4 members at depth 3,
h2-loopback-c1x1,loopback,h2,1,1,0,walk-tree,required,167,0,49.475,104.602,"10x207,157x200",HTTP/2.0,HTTP/2.0,75243,true,false,ok,"10 dirs + 157 files discovered, matching the fixture",
h2-loopback-c1x1,loopback,h2,1,1,0,git-status-shaped,required,1,0,4.626,34.644,200,HTTP/2.0,HTTP/2.0,28245,true,false,ok,1 request returned 167 entries (157 hashes),
h2-loopback-c1x1,loopback,h2,1,1,0,fanout-100,extra,100,0,26.945,52.873,100x200,HTTP/2.0,HTTP/2.0,102400,true,false,ok,"100 requests issued concurrently (bounded at 1 in flight), all verified",
